seed,F1_real,F1_tabddpm,F1_mcce,F1_tvae,AUC_real,AUC_tabddpm,AUC_mcce,AUC_tvae,acc_real,acc_tabddpm,acc_mcce,acc_tvae
1234,0.9206534422403735,0.0,0.9057928613224107,0.9070847851335656,0.8629678230678806,0.7199896115257389,0.8273462915880696,0.7894488641023538,0.864,0.178,0.839,0.84
4500,0.918855808523059,0.002430133657351154,0.9121779859484778,0.9021226415094339,0.8638016348177916,0.7207482435277073,0.8232182399737554,0.8027420104431504,0.861,0.179,0.85,0.834
2018,0.9179755671902269,0.0048543689320388345,0.9117475160724723,0.9036073329390892,0.8635965991415839,0.7220878099455972,0.827701686760163,0.7970146805544164,0.859,0.18,0.849,0.837
1999,0.9196740395809081,0.0,0.9125073399882561,0.9078014184397163,0.8635897646190436,0.7189644331447005,0.8325883703764455,0.8192610514229476,0.862,0.178,0.851,0.844
2023,0.9224489795918368,0.0,0.9161290322580646,0.9177688326624498,0.8624210612646601,0.7175770250690287,0.8362038328002406,0.8061592717132781,0.867,0.178,0.857,0.857
